"speaker","speaker_title","topic","talk_summary","speaker_bio","talk_url","speaker_twitter","speaker_ted_url","posted","tags"
"Dan Barasch","Strategist","A park underneath the hustle and bustle of New York City","Dan Barasch and James Ramsey have a crazy plan — to create a park, filled with greenery, underneath New York City. The two are developing the Lowline, an underground greenspace the size of a football field. They're building it in a trolley terminal abandoned in 1948, using technology that harvests sunlight above-ground and directs it down below. It's a park that can thrive, even in winter.","Dan Barasch’s grandmother grew up in New York’s Lower East Side. Now, he’s building an underground park in her old neighborhood, where greenspace is limited.
","https://ted.com/talks/dan_barasch_a_park_underneath_the_hustle_and_bustle_of_new_york_city","https://twitter.com/kineticdb","https://ted.com/speakers/daniel_barasch","Sep 2014","Inspiring, Ingenious"
"Zak Ebrahim","Peace activist","I am the son of a terrorist. Here's how I chose peace.","If you’re raised on dogma and hate, can you choose a different path? Zak Ebrahim was just seven years old when his father helped plan the 1993 World Trade Center bombing. His story is shocking, powerful and, ultimately, inspiring.","Groomed for terror, Zak Ebrahim chose a different life. The author of The Terrorist's Son, he hopes his story will inspire others to reject a path of violence.","https://ted.com/talks/zak_ebrahim_i_am_the_son_of_a_terrorist_here_s_how_i_chose_peace","not available","https://ted.com/speakers/zak_ebrahim","Sep 2014","Inspiring, Courageous"
"Colin Grant","Author, historian","How our stories cross over","Colin Grant has spent a lifetime navigating the emotional landscape between his father’s world and his own. Born in England to Jamaican parents, Grant draws on stories of shared experience within his immigrant community — and reflects on how he found forgiveness for a father who rejected him.","Colin Grant is an author and historian whose works focus on larger-than-life figures of the African diaspora.","https://ted.com/talks/colin_grant_the_son_of_a_difficult_father","https://twitter.com/colincraiggrant","https://ted.com/speakers/colin_grant","Sep 2014","Courageous, Beautiful"
"Shubhendu Sharma","Eco-entrepreneur","An engineer's vision for tiny forests, everywhere","A forest planted by humans, then left to nature's own devices, typically takes at least 100 years to mature. But what if we could make the process happen ten times faster? In this short talk, eco-entrepreneur (and TED Fellow) Shubhendu Sharma explains how to create a mini-forest ecosystem anywhere.","Shubhendu Sharma creates afforestation methods that make it easy to plant maintenance-free, wild and biodiverse forests.","https://ted.com/talks/shubhendu_sharma_an_engineers_vision_for_tiny_forests_everywhere","https://twitter.com/shubzsharma","https://ted.com/speakers/shubhendu_sharma","Sep 2014","Inspiring, Ingenious"
"Isabel Allende","Novelist","How to live passionately—no matter your age","Author Isabel Allende is 71. Yes, she has a few wrinkles—but she has incredible perspective too. In this candid talk, meant for viewers of all ages, she talks about her fears as she gets older and shares how she plans to keep on living passionately.","Isabel Allende writes stories of passion. Her novels and memoirs, including The House of the Spirits and Eva Luna, tell the stories of women and men who live with passionate commitment — to love, to their world, to an ideal. ","https://ted.com/talks/isabelle_allende_how_to_live_passionately_no_matter_your_age","https://twitter.com/isabelallende","https://ted.com/speakers/isabel_allende","Sep 2014","Inspiring, Beautiful"
"Jim Holt","Writer and philosopher","Why does the universe exist?","Why is there something instead of nothing? In other words: Why does the universe exist (and why are we in it)? Philosopher and writer Jim Holt follows this question toward three possible answers. Or four. Or none.","Why is there something rather than nothing? In his book ""Why Does the World Exist?"" Jim Holt dares to ask.","https://ted.com/talks/jim_holt_why_does_the_universe_exist","not available","https://ted.com/speakers/jim_holt","Sep 2014","Fascinating, Funny"
"Jill Shargaa","Comedian + Designer","Please, please, people. Let's put the 'awe' back in 'awesome'","Which of the following is awesome: your lunch or the Great Pyramid of Giza? Comedian Jill Shargaa sounds a hilarious call for us to save the word ""awesome"" for things that truly inspire awe.","Jill Shargaa is a woman of multiple talents. A seasoned comedian, she founded the all-female comedy revue, Evening of Estrogen. She is also an illustrator and designer who brings a pulp sensibility to her work.","https://ted.com/talks/jill_shargaa_please_please_people_let_s_put_the_awe_back_in_awesome","not available","https://ted.com/speakers/jill_shargaa","Aug 2014","Funny, Persuasive"
"Sally Kohn","Political pundit","Don't like clickbait? Don't click","Doesn't it seem like a lot of online news sites have moved beyond reporting the news to openly inciting your outrage (and your page views)? News analyst Sally Kohn suggests — don't engage with news that looks like it just wants to make you mad. Instead, give your precious clicks to the news sites you truly trust.","Sally Kohn searches for common ground among political foes by focusing on the compassion and humanity in everyone.
","https://ted.com/talks/sally_kohn_don_t_like_clickbait_don_t_click","not available","https://ted.com/speakers/sally_kohn","Aug 2014","Persuasive, Informative"
"Meera Vijayann","Citizen journalist","Find your voice against gender violence","This talk begins with a personal story of sexual violence that may be difficult to listen to. But that’s the point, says citizen journalist Meera Vijayann: Speaking out on tough, taboo topics is the spark for change. Vijayann uses digital media to speak honestly about her experience of gender violence in her home country of India — and calls on others to speak out too.","By using citizen journalism platforms, Meera Vijayann explores creative ways that young women can participate in politics and community matters. ","https://ted.com/talks/meera_vijayann_find_your_voice_against_gender_violence","https://twitter.com/meeravijayann","https://ted.com/speakers/meera_vijayann","Aug 2014","Courageous, Inspiring"
"Rose Goslinga","Microinsurer","Crop insurance, an idea worth seeding","Across sub-Saharan Africa, small farmers are the bedrock of national and regional economies—unless the weather proves unpredictable and their crops fail. The solution is insurance, at a vast, continental scale, and at a very low, affordable cost. Rose Goslinga and the Syngenta Foundation for Sustainable Agriculture pioneered an unconventional way to give farmers whose crops fail early a second chance at a growing season.","Rose Goslinga isn’t your typical insurance salesperson. Through the Syngenta Foundation, her team developed insurance solutions to assist small-scale farmers in Africa, to safeguard their crops in case of droughts.","https://ted.com/talks/rose_goslinga_crop_insurance_an_idea_worth_seeding","https://twitter.com/rosegos","https://ted.com/speakers/rose_goslinga","Aug 2014","Informative, Inspiring"
"Martin Rees","Astrophysicist","Can we prevent the end of the world?","A post-apocalyptic Earth, emptied of humans, seems like the stuff of science fiction TV and movies. But in this short, surprising talk, Lord Martin Rees asks us to think about our real existential risks — natural and human-made threats that could wipe out humanity. As a concerned member of the human race, he asks: What’s the worst thing that could possibly happen?","Lord Martin Rees, one of the world's most eminent astronomers, is an emeritus professor of cosmology and astrophysics at the University of Cambridge and the UK's Astronomer Royal. He is one of our key thinkers on the future of humanity in the cosmos.","https://ted.com/talks/martin_rees_can_we_prevent_the_end_of_the_world","not available","https://ted.com/speakers/sir_martin_rees","Aug 2014","Informative, Inspiring"
"Ziyah Gafić","Photographer + storyteller","Everyday objects, tragic histories","Ziyah Gafić photographs everyday objects—watches, shoes, glasses. But these images are deceptively simple; the items in them have been exhumed from the mass graves of the Bosnian War. Gafić, a TED Fellow and Sarajevo native, is photographing every item from these graves in order to create a living archive of the identities of those lost.","To help him come to terms with the tragedy of his own homeland, Bosnian photographer Ziyah Gafić turns his camera on the aftermath of conflict, showing his images in galleries, in books and on Instagram.
","https://ted.com/talks/ziyah_gafic_everyday_objects_tragic_histories","not available","https://ted.com/speakers/ziyah_gafic","Aug 2014","Informative, Inspiring"
"Laurel Braitman","Science Historian + Writer","Depressed dogs, cats with OCD — what animal madness means for us humans","Behind those funny animal videos, sometimes, are oddly human-like problems. Laurel Braitman studies non-human animals who exhibit signs of mental health issues — from compulsive bears to self-destructive rats to monkeys with unlikely friends. Braitman asks what we as humans can learn from watching animals cope with depression, sadness and other all-too-human problems.","Science historian Laurel Braitman is the author of Animal Madness, a book that takes a close look at our non-human friends and their mental anxieties.","https://ted.com/talks/laurel_braitman_depressed_dogs_cats_with_ocd_what_animal_madness_means_for_us_humans","https://twitter.com/LaurelBraitman","https://ted.com/speakers/laurel_braitman","Aug 2014","Informative, Inspiring"
"Jarrett J. Krosoczka","Author/illustrator","Why lunch ladies are heroes","Children's book author Jarrett Krosoczka shares the origins of the Lunch Lady graphic novel series, in which undercover school heroes serve lunch...and justice! His new project, School Lunch Hero Day, reveals how cafeteria lunch staff provide more than food, and illustrates how powerful a thank you can be.","Jarrett J. Krosoczka is the author/illustrator of countless children's books and graphic novels, including Good Night, Monkey Boy, Baghead and the Lunch Lady series.","https://ted.com/talks/jarrett_krosoczka_why_lunch_ladies_are_heroes","https://twitter.com/StudioJJK","https://ted.com/speakers/jarrett_j_krosoczka","Aug 2014","Inspiring, Beautiful"
"Aziza Chaouni","Architect + ecotourism specialist","How I brought a river, and my city, back to life","The Fez River winds through the medina of Fez, Morocco—a mazelike medieval city that's a World Heritage site. Once considered the ""soul"" of this celebrated city, the river succumbed to sewage and pollution, and in the 1950s was covered over bit by bit until nothing remained. TED Fellow Aziza Chaouni recounts her 20 year effort to restore this river to its former glory, and to transform her city in the process.","Aziza Chaouni focuses on projects that integrate architecture and landscape, and that ultimately give back to their communities. For years, she has worked to revive the Fez River, which runs through her hometown of Fez, Morocco.","https://ted.com/talks/aziza_chaouni_how_i_brought_a_river_and_my_city_back_to_life","not available","https://ted.com/speakers/aziza_chaouni","Aug 2014","Inspiring, Informative"
"Tim Berners-Lee","Inventor","A Magna Carta for the web","Sir Tim Berners-Lee invented the World Wide Web 25 years ago. So it’s worth a listen when he warns us: There’s a battle ahead. Eroding net neutrality, filter bubbles and centralizing corporate control all threaten the web’s wide-open spaces. It’s up to users to fight for the right to access and openness. The question is, What kind of Internet do we want?","Tim Berners-Lee invented the World Wide Web. He leads the World Wide Web Consortium (W3C), overseeing the Web's standards and development.","https://ted.com/talks/tim_berners_lee_a_magna_carta_for_the_web","not available","https://ted.com/speakers/tim_berners_lee","Aug 2014","Informative, Inspiring"
"Clint Smith","Poet, educator","The danger of silence","""We spend so much time listening to the things people are saying that we rarely pay attention to the things they don't,"" says poet and teacher Clint Smith. A short, powerful piece from the heart, about finding the courage to speak up against ignorance and injustice.","Clint Smith's work blends art and activism.","https://ted.com/talks/clint_smith_the_danger_of_silence","https://twitter.com/ClintSmithIII","https://ted.com/speakers/clint_smith","Aug 2014","Inspiring, Beautiful"
"Eric Liu","Civics educator","Why ordinary people need to understand power","Far too many Americans are illiterate in power — what it is, how it operates and why some people have it. As a result, those few who do understand power wield disproportionate influence over everyone else. “We need to make civics sexy again,” says civics educator Eric Liu. “As sexy as it was during the American Revolution or the Civil Rights Movement.”","Eric Liu is founder of Citizen University, which teaches the art of powerful citizenship, and the executive director of the Aspen Institute Citizenship & American Identity Program.","https://ted.com/talks/eric_liu_why_ordinary_people_need_to_understand_power","https://twitter.com/ericpliu","https://ted.com/speakers/eric_liu","Aug 2014","Inspiring, Persuasive"
"Dan Pacholke","Prison administrator and reformer","How prisons can help inmates live meaningful lives","In the United States, the agencies that govern prisons are often called ‘Department of Corrections.’ And yet, their focus is on containing and controlling inmates. Dan Pacholke, Deputy Secretary for the Washington State Department of Corrections, shares a different vision: of prisons that provide humane living conditions as well as opportunities for meaningful work and learning.","Dan Pacholke aims to keep the Washington State Department of Corrections on the front edge of innovation by rethinking the design of prisons, the training of officers and the education opportunities made available to inmates. ","https://ted.com/talks/dan_pacholke_how_prisons_can_help_inmates_live_meaningful_lives","not available","https://ted.com/speakers/dan_pacholke","Aug 2014","Inspiring, Informative"
"Nick Hanauer","Venture capitalist, author","Beware, fellow plutocrats, the pitchforks are coming","Nick Hanauer is a rich guy, an unrepentant capitalist — and he has something to say to his fellow plutocrats: Wake up! Growing inequality is about to push our societies into conditions resembling pre-revolutionary France. Hear his argument about why a dramatic increase in minimum wage could grow the middle class, deliver economic prosperity ... and prevent a revolution.","Nick Hanauer has become an important voice in the raging debate on inequality — and his provocative argument is aimed at his fellow plutocrats.","https://ted.com/talks/nick_hanauer_beware_fellow_plutocrats_the_pitchforks_are_coming","https://twitter.com/nickhanauer","https://ted.com/speakers/nick_hanauer","Aug 2014","Persuasive, Informative"
"Talithia Williams","Statistician","Own your body's data","The new breed of high-tech self-monitors (measuring heartrate, sleep, steps per day) might seem targeted at competitive athletes. But Talithia Williams, a statistician, makes a compelling case that all of us should be measuring and recording simple data about our bodies every day — because our own data can reveal much more than even our doctors may know.","Talithia Williams builds statistical models that study the spatial and temporal structure of data.","https://ted.com/talks/talithia_williams_own_your_body_s_data","not available","https://ted.com/speakers/talithia_williams","Aug 2014","Informative, Funny"
"Megan Washington","Musician","Why I live in mortal dread of public speaking","Megan Washington is one of Australia's premier singer/songwriters. And, since childhood, she has had a stutter. In this bold and personal talk, she reveals how she copes with this speech impediment—from avoiding the letter combination “st” to tricking her brain by changing her words at the last minute to, yes, singing the things she has to say rather than speaking them.","Megan Washington has won two ARIA Awards, the Australian equivalent of the Grammys. A popular singer/songwriter, she has recently come clean with a secret—that she has a speech impediment.
","https://ted.com/talks/megan_washington_why_i_live_in_mortal_dread_of_public_speaking","https://twitter.com/WASHINGTONx","https://ted.com/speakers/megan_washington","Aug 2014","Inspiring, Courageous"
"Janet Iwasa","Molecular animator","How animations can help scientists test a hypothesis","3D animation can bring scientific hypotheses to life. Molecular biologist (and TED Fellow) Janet Iwasa introduces a new open-source animation software designed just for scientists.","not available","https://ted.com/talks/janet_iwasa_how_animations_can_help_scientists_test_a_hypothesis","not available","https://ted.com/speakers/janet_iwasa","Aug 2014","Informative, Fascinating"
"Hubertus Knabe","Historian","The dark secrets of a surveillance state","Tour the deep dark world of the East German state security agency known as Stasi. Uniquely powerful at spying on its citizens, until the fall of the Berlin Wall in 1989 the Stasi masterminded a system of surveillance and psychological pressure that kept the country under control for decades. Hubertus Knabe studies the Stasi — and was spied on by them. He shares stunning details from the fall of a surveillance state, and shows how easy it was for neighbor to turn on neighbor.","Hubertus Knabe studies the history of torture, oppression and surveillance in former East Germany.","https://ted.com/talks/hubertus_knabe_the_dark_secrets_of_a_surveillance_state","not available","https://ted.com/speakers/hubertus_knabe","Aug 2014","Informative, Fascinating"
"Margaret Gould Stewart","User experience master","How giant websites design for you (and a billion others, too)","Facebook’s “like” and “share” buttons are seen 22 billion times a day, making them some of the most-viewed design elements ever created. Margaret Gould Stewart, Facebook’s director of product design, outlines three rules for design at such a massive scale—one so big that the tiniest of tweaks can cause global outrage, but also so large that the subtlest of improvements can positively impact the lives of many.","At Facebook (and previously at YouTube), Margaret Gould Stewart designs experiences that touch the lives of a large percentage of the world's population.","https://ted.com/talks/margaret_gould_stewart_how_giant_websites_design_for_you_and_a_billion_others_too","https://twitter.com/mags","https://ted.com/speakers/margaret_stewart","Aug 2014","Informative, Inspiring"
"Shai Reshef","Education entrepreneur","An ultra-low-cost college degree","At the online University of the People, anyone with a high school diploma can take classes toward a degree in business administration or computer science — without standard tuition fees (though exams cost money). Founder Shai Reshef hopes that higher education is changing ""from being a privilege for the few to a basic right, affordable and accessible for all.""","Shai Reshef wants to democratize higher education.","https://ted.com/talks/shai_reshef_a_tuition_free_college_degree","not available","https://ted.com/speakers/shai_reshef","Aug 2014","Inspiring, Informative"
"Ze Frank","Humorist, web artist","Are you human?","Have you ever wondered: Am I a human being? Ze Frank suggests a series of simple questions that will determine this. Please relax and follow the prompts. Let's begin …","Ze Frank rose to fame on a viral video — in 2001! He has been making online comedy, web toys and massively shared experiences (like the addictive Young Me Now Me) ever since.","https://ted.com/talks/ze_frank_are_you_human","http://twitter.com/zefrank","https://ted.com/speakers/ze_frank","Jul 2014","Funny, Beautiful"
"Heather Barnett","Artist","What humans can learn from semi-intelligent slime","Inspired by biological design and self-organizing systems, artist Heather Barnett co-creates with physarum polycephalum, a eukaryotic microorganism that lives in cool, moist areas. What can people learn from the semi-intelligent slime mold? Watch this talk to find out.","Heather Barnett creates art with slime mold — a material used in diverse areas of scientific research, including biological computing, robotics and structural design.","https://ted.com/talks/heather_barnett_what_humans_can_learn_from_semi_intelligent_slime_1","https://twitter.com/heatherbarnett","https://ted.com/speakers/heather_barnett_1","Jul 2014","Fascinating, Informative"
"Shih Chieh Huang","Artist","Sculptures that’d be at home in the deep sea","When he was young, artist Shih Chieh Huang loved taking toys apart and perusing the aisles of night markets in Taiwan for unexpected objects. Today, this TED Fellow creates madcap sculptures that seem to have a life of their own—with eyes that blink, tentacles that unfurl and parts that light up like bioluminescent sea creatures.","Shih Chieh Huang doesn’t make art that’s meant to be admired from afar. He dissects and disassembles the detritus of our lives—household appliances, lights, computer parts, toys—and transforms them into surreal experiences.","https://ted.com/talks/shih_chieh_huang_sculptures_that_d_be_at_home_at_the_bottom_of_the_ocean","not available","https://ted.com/speakers/shih_chieh_huang","Jul 2014","Ingenious, Beautiful"
"Nikolai Begg","Mechanical engineer","A tool to fix one of the most dangerous moments in surgery","Surgeons are required every day to puncture human skin before procedures — with the risk of damaging what's on the other side. In a fascinating talk, find out how mechanical engineer Nikolai Begg is using physics to update an important medical device, called the trocar, and improve one of the most dangerous moments in many common surgeries.","Nikolai Begg is a PhD candidate in mechanical engineering whose passion is rethinking medical devices.","https://ted.com/talks/nikolai_begg_a_tool_to_fix_one_of_the_most_dangerous_moments_in_surgery","not available","https://ted.com/speakers/nikolai_begg","Jul 2014","Informative, Ingenious"
"David Chalmers","Philosopher","How do you explain consciousness?","Our consciousness is a fundamental aspect of our existence, says philosopher David Chalmers: “There’s nothing we know about more directly…. but at the same time it’s the most mysterious phenomenon in the universe.” He shares some ways to think about the movie playing in our heads.","In his work, David Chalmers explores the “hard problem of consciousness"" — the quest to explain our subjective experience.","https://ted.com/talks/david_chalmers_how_do_you_explain_consciousness","not available","https://ted.com/speakers/david_chalmers","Jul 2014","Fascinating, Informative"
"David Kwong","Cruciverbalist","Two nerdy obsessions meet — and it's magic","David Kwong is a magician who makes crossword puzzles — in other words, a pretty nerdy guy. And for his next trick ...","David Kwong creates illusions for films and TV, and makes verbal magic as a crossword puzzle maker for the New York Times.","https://ted.com/talks/david_kwong_two_nerdy_obsessions_meet_and_it_s_magic","https://twitter.com/davidkwong","https://ted.com/speakers/david_kwong","Jul 2014","Fascinating, Ingenious"
"Karima Bennoune","Professor of international law","When people of Muslim heritage challenge fundamentalism","Karima Bennoune shares four powerful stories of real people fighting against fundamentalism in their own communities — refusing to allow the faith they love to become a tool for crime, attacks and murder. These personal stories humanize one of the most overlooked human-rights struggles in the world.","Karima Bennoune's new book introduces the world to people who speak out against fundamentalist terrorism.","https://ted.com/talks/karima_bennoune_the_side_of_terrorism_that_doesn_t_make_headlines","not available","https://ted.com/speakers/karima_bennoune","Jul 2014","Courageous, Inspiring"
"Renata Salecl","Theorist","Our unhealthy obsession with choice","We face an endless string of choices, which leads us to feel anxiety, guilt and pangs of inadequacy that we are perhaps making the wrong ones. But philosopher Renata Salecl asks: Could individual choices be distracting us from something bigger—our power as social thinkers? A bold call for us to stop taking personal choice so seriously and focus on the choices we're making collectively.","Sociologist and philosopher Renata Salecl scrutinizes our individual and societal neuroses, and suggests ways out of our current paralysis.","https://ted.com/talks/renata_salecl_our_unhealthy_obsession_with_choice","not available","https://ted.com/speakers/renata_salecl","Jul 2014","Informative, Inspiring"
"Nicholas Negroponte","Tech visionary","A 30-year history of the future","MIT Media Lab founder Nicholas Negroponte takes you on a journey through the last 30 years of tech. The consummate predictor highlights interfaces and innovations he foresaw in the 1970s and 1980s that were scoffed at then but are ubiquitous today. And he leaves you with one last (absurd? brilliant?) prediction for the coming 30 years.","The founder of the MIT Media Lab, Nicholas Negroponte pushed the edge of the information revolution as an inventor, thinker and angel investor. He's the driving force behind One Laptop per Child, building computers for children in the developing world.  ","https://ted.com/talks/nicholas_negroponte_a_30_year_history_of_the_future","not available","https://ted.com/speakers/nicholas_negroponte","Jul 2014","Inspiring, Informative"
"Joi Ito","Relentless mind","Want to innovate? Become a ""now-ist""","""Remember before the internet?"" asks Joi Ito. ""Remember when people used to try to predict the future?"" In this engaging talk, the head of the MIT Media Lab skips the future predictions and instead shares a new approach to creating in the moment: building quickly and improving constantly, without waiting for permission or for proof that you have the right idea. This kind of bottom-up innovation is seen in the most fascinating, futuristic projects emerging today, and it starts, he says, with being open and alert to what's going on around you right now. Don't be a futurist, he suggests: be a now-ist.","Joi Ito is the director of the MIT Media Lab.","https://ted.com/talks/joi_ito_want_to_innovate_become_a_now_ist","https://twitter.com/Joi","https://ted.com/speakers/joi_ito","Jul 2014","Inspiring, Informative"
"George Takei","Actor and activist","Why I love a country that once betrayed me","When he was a child, George Takei and his family were forced into an internment camp for Japanese-Americans, as a ""security"" measure during World War II. 70 years later, Takei looks back at how the camp shaped his surprising, personal definition of patriotism and democracy.","The beloved Mr. Sulu from the original Star Trek, George Takei is an activist for human rights (and a master of Facebook memes). ","https://ted.com/talks/george_takei_why_i_love_a_country_that_once_betrayed_me","not available","https://ted.com/speakers/george_takei","Jul 2014","Inspiring, Courageous"
"Paul Bloom","Psychologist","Can prejudice ever be a good thing?","We often think of bias and prejudice as rooted in ignorance. But as psychologist Paul Bloom seeks to show, prejudice is often natural, rational ... even moral. The key, says Bloom, is to understand how our own biases work — so we can take control when they go wrong.","Paul Bloom explores some of the most puzzling aspects of human nature, including pleasure, religion, and morality.","https://ted.com/talks/paul_bloom_can_prejudice_ever_be_a_good_thing","not available","https://ted.com/speakers/paul_bloom","Jul 2014","Informative, Persuasive"
"Simon Anholt","Policy advisor","Which country does the most good for the world?","It's an unexpected side effect of globalization: problems that once would have stayed local—say, a bank lending out too much money—now have consequences worldwide. But still, countries operate independently, as if alone on the planet. Policy advisor Simon Anholt has dreamed up an unusual scale to get governments thinking outwardly: The Good Country Index. In a riveting and funny talk, he answers the question, ""Which country does the most good?"" The answer may surprise you (especially if you live in the US or China).","Simon Anholt helps national, regional and city governments earn better reputations—not by launching advertising or PR campaigns, but by changing the way they behave. ","https://ted.com/talks/simon_anholt_which_country_does_the_most_good_for_the_world","https://twitter.com/SimonAnholt","https://ted.com/speakers/simon_anholt","Jul 2014","Inspiring, Beautiful"
"Sara Lewis","Firefly specialist","The loves and lies of fireflies","Biologist Sara Lewis has spent the past 20 years getting to the bottom of the magic and wonder of fireflies. In this charming talk, she tells us how and why the beetles produce their silent sparks, what happens when two fireflies have sex, and why one group of females is known as the firefly vampire. (It's not pretty.) Find out more astonishing facts about fireflies in Lewis' footnotes, below.","Evolutionary ecologist Sara Lewis digs deep into firefly mating rituals to uncover a world of secret languages and strange gifts in these silent sparks.","https://ted.com/talks/sara_lewis_the_loves_and_lies_of_fireflies","not available","https://ted.com/speakers/sara_lewis","Jul 2014","Informative, Fascinating"
"Chris Domas","Cybersecurity researcher","The 1s and 0s behind cyber warfare","Chris Domas is a cybersecurity researcher, operating on what's become a new front of war, ""cyber."" In this engaging talk, he shows how researchers use pattern recognition and reverse engineering (and pull a few all-nighters) to understand a chunk of binary code whose purpose and contents they don't know.","Chris Domas is an embedded systems engineer and cybersecurity researcher.","https://ted.com/talks/chris_domas_the_1s_and_0s_behind_cyber_warfare","not available","https://ted.com/speakers/chris_domas","Jun 2014","Informative, Fascinating"
"Julian Treasure","Sound consultant","How to speak so that people want to listen","Have you ever felt like you're talking, but nobody is listening? Here's Julian Treasure to help. In this useful talk, the sound expert demonstrates the how-to's of powerful speaking — from some handy vocal exercises to tips on how to speak with empathy. A talk that might help the world sound more beautiful.","Julian Treasure studies sound and advises businesses on how best to use it.","https://ted.com/talks/julian_treasure_how_to_speak_so_that_people_want_to_listen","http://twitter.com/juliantreasure","https://ted.com/speakers/julian_treasure","Jun 2014","Informative, Inspiring"
"Ge Wang","Music technologist","The DIY orchestra of the future","Ge Wang makes computer music, but it isn’t all about coded bleeps and blips. With the Stanford Laptop Orchestra, he creates new instruments out of unexpected materials—like an Ikea bowl—that allow musicians to play music that’s both beautiful and expressive.","Both a musician and a computer scientist, Ge Wang turns ordinary MacBooks and iPhones into complex instruments.","https://ted.com/talks/ge_wang_the_diy_orchestra_of_the_future","https://twitter.com/gewang","https://ted.com/speakers/ge_wang","Jun 2014","Inspiring, Fascinating"
"Naomi Oreskes","Historian of science","Why we should trust scientists","Many of the world's biggest problems require asking questions of scientists — but why should we believe what they say? Historian of science Naomi Oreskes thinks deeply about our relationship to belief and draws out three problems with common attitudes toward scientific inquiry — and gives her own reasoning for why we ought to trust science.","Naomi Oreskes is a historian of science who uses reason to fight climate change denial.","https://ted.com/talks/naomi_oreskes_why_we_should_believe_in_science","not available","https://ted.com/speakers/naomi_oreskes","Jun 2014","Informative, Persuasive"
"Lorrie Faith Cranor","Security researcher","What’s wrong with your pa$$w0rd?","Lorrie Faith Cranor studied thousands of real passwords to figure out the surprising, very common mistakes that users — and secured sites — make to compromise security. And how, you may ask, did she study thousands of real passwords without compromising the security of any users? That's a story in itself. It's secret data worth knowing, especially if your password is 123456 ...","At Carnegie Mellon University, Lorrie Faith Cranor studies online privacy, usable security, phishing, spam and other research around keeping us safe online.","https://ted.com/talks/lorrie_faith_cranor_what_s_wrong_with_your_pa_w0rd","not available","https://ted.com/speakers/lorrie_faith_cranor","Jun 2014","Informative, Persuasive"
"Shaka Senghor","Author","Why your worst deeds don’t define you","In 1991, Shaka Senghor shot and killed a man. He was, he says, ""a drug dealer with a quick temper and a semi-automatic pistol."" Jailed for second degree murder, that could very well have been the end of the story. But it wasn't. Instead, it was the beginning of a years-long journey to redemption, one with humbling and sobering lessons for us all.","Using literature as a lifeline, Shaka Senghor escaped a cycle of prison and desperation. Now his story kindles hope in those who have little.","https://ted.com/talks/shaka_senghor_why_your_worst_deeds_don_t_define_you","https://twitter.com/shakasenghor","https://ted.com/speakers/shaka_senghor","Jun 2014","Inspiring, Courageous"
"Billy Collins","Poet","Two poems about what dogs think (probably)","What must our dogs be thinking when they look at us? Poet Billy Collins imagines the inner lives of two very different companions. It’s a charming short talk, perfect for taking a break and dreaming …","A two-term U.S. Poet Laureate, Billy Collins captures readers with his understated wit, profound insight — and a sense of being ""hospitable.""","https://ted.com/talks/billy_collins_two_poems_about_what_dogs_think_probably","not available","https://ted.com/speakers/billy_collins","Jun 2014","Funny, Beautiful"
"Jamila Lyiscott","Poet and educator","3 ways to speak English","Jamila Lyiscott is a “tri-tongued orator;” in her powerful spoken-word essay “Broken English,” she celebrates — and challenges — the three distinct flavors of English she speaks with her friends, in the classroom and with her parents. As she explores the complicated history and present-day identity that each language represents, she unpacks what it means to be “articulate.”","Jamila Lyiscott weaves words about language, education and the African Diaspora.","https://ted.com/talks/jamila_lyiscott_3_ways_to_speak_english","https://twitter.com/BlackRelevance","https://ted.com/speakers/jamila_lyiscott","Jun 2014","Inspiring, Beautiful"
"Ruth Chang","Philosopher","How to make hard choices ","Here's a talk that could literally change your life. Which career should I pursue? Should I break up — or get married?! Where should I live? Big decisions like these can be agonizingly difficult.  But that's because we think about them the wrong way, says philosopher Ruth Chang. She offers a powerful new framework for shaping who we truly are.","Ruth Chang asks why some choices are so hard — and what that means for the human condition. ","https://ted.com/talks/ruth_chang_how_to_make_hard_choices","not available","https://ted.com/speakers/ruth_chang","Jun 2014","Inspiring, Informative"
"Anne Curzan","Language historian","What makes a word ""real""?","One could argue that slang words like ‘hangry,’ ‘defriend’ and ‘adorkable’ fill crucial meaning gaps in the English language, even if they don't appear in the dictionary. After all, who actually decides which words make it into those pages? Language historian Anne Curzan gives a charming look at the humans behind dictionaries, and the choices they make.","English professor Anne Curzan actually encourages her students to use slang in class. A language historian, she is fascinated by how people use words—and by how this changes.
","https://ted.com/talks/anne_curzan_what_makes_a_word_real","not available","https://ted.com/speakers/anne_curzan","Jun 2014","Informative, Fascinating"
"Kwame Anthony Appiah","Philosopher","Is religion good or bad? (This is a trick question)","Plenty of good things are done in the name of religion, and plenty of bad things too. But what is religion, exactly — is it good or bad, in and of itself? Philosopher Kwame Anthony Appiah offers a generous, surprising view.","Kwame Anthony Appiah is a philosopher, cultural theorist and novelist. His latest book is ""The Honor Code,"" exploring moral revolutions.","https://ted.com/talks/kwame_anthony_appiah_is_religion_good_or_bad_this_is_a_trick_question","not available","https://ted.com/speakers/anthony_appiah","Jun 2014","Informative, Fascinating"
